codigo_estacao;data;hora;temp_inst;temp_max;temp_min
A852;04/11/2018;0;26.2;27.1;26.2
A852;04/11/2018;1;26.0;26.2;26.0
A852;04/11/2018;2;25.5;26.1;25.5
A852;04/11/2018;3;25.1;25.5;25.0
A852;04/11/2018;4;24.6;25.2;24.5
A852;04/11/2018;5;24.3;24.7;24.2
A852;04/11/2018;6;24.0;24.3;24.0
A852;04/11/2018;7;23.6;24.1;23.6
A852;04/11/2018;8;23.4;23.6;23.4
A852;04/11/2018;9;23.2;23.5;23.2
A852;04/11/2018;10;22.9;23.2;22.9
A852;04/11/2018;11;23.7;23.8;22.9
A852;04/11/2018;12;26.0;26.0;23.7
A852;04/11/2018;13;28.0;28.0;26.0
A852;04/11/2018;14;29.8;30.0;28.0
A852;04/11/2018;15;31.1;31.2;29.7
A852;04/11/2018;16;32.0;32.4;31.0
A852;04/11/2018;17;32.5;33.1;32.0
A852;04/11/2018;18;33.6;33.9;32.4
A852;04/11/2018;19;33.6;33.8;33.2
A852;04/11/2018;20;32.6;33.6;32.6
A852;04/11/2018;21;31.0;32.7;31.0
A852;04/11/2018;22;28.9;31.0;28.9
A852;04/11/2018;23;28.0;28.9;28.0
